image_id,top1_text_id,top1_image_id,top1_caption,top1_score,is_top1_correct,first_correct_rank,first_correct_caption,first_correct_score
T001,T031_caption_1,T031,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3615765869617462,False,2,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3615765869617462
T002,T032_caption_1,T032,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.",0.3695981204509735,False,2,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.",0.3695981204509735
T003,T033_caption_1,T033,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.",0.2843455970287323,False,2,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.",0.2843455970287323
T004,T014_caption_1,T014,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3072253167629242,False,8,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta blanco, negro, gris.",0.2778145968914032
T005,T020_caption_1,T020,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta multicolor, tierra.",0.27238568663597107,False,5,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.",0.2653998136520386
T006,T031_caption_1,T031,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.36440885066986084,False,8,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta rojo, negro, crema.",0.33250755071640015
T007,T037_caption_1,T037,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.371223509311676,False,2,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.371223509311676
T008,T038_caption_1,T038,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.36813825368881226,False,2,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.36813825368881226
T009,T039_caption_1,T039,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.27660802006721497,False,2,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.27660802006721497
T010,T025_caption_1,T025,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.31352272629737854,False,26,"Diseno geometrico generado con paleta multicolor, tierra, estructura modular y repeticion visual.",0.2606535255908966
