image_id,rank,text_id,candidate_image_id,caption_col,caption,score,is_correct
T001,1,T031_caption_1,T031,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3615765869617462,False
T001,2,T001_caption_1,T001,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3615765869617462,True
T001,3,T013_caption_1,T013,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.",0.35415858030319214,False
T001,4,T026_caption_1,T026,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta rojo, negro, crema.",0.34559914469718933,False
T001,5,T008_caption_1,T008,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.33802366256713867,False
T001,6,T038_caption_1,T038,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.33802366256713867,False
T001,7,T031_caption_3,T031,caption_3,"Diseno geometrico generado con paleta rojo, negro, crema, estructura horizontal y repeticion visual.",0.32184332609176636,False
T001,8,T001_caption_3,T001,caption_3,"Diseno geometrico generado con paleta rojo, negro, crema, estructura horizontal y repeticion visual.",0.32184332609176636,True
T001,9,T025_caption_1,T025,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.31896913051605225,False
T001,10,T006_caption_1,T006,caption_1,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta rojo, negro, crema.",0.3166152238845825,False
T002,1,T032_caption_1,T032,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.",0.3695981204509735,False
T002,2,T002_caption_1,T002,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.",0.3695981204509735,True
T002,3,T007_caption_1,T007,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.3597531020641327,False
T002,4,T037_caption_1,T037,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.3597531020641327,False
T002,5,T032_caption_3,T032,caption_3,"Diseno geometrico generado con paleta azul, crema, marron, estructura vertical y repeticion visual.",0.3396110534667969,False
T002,6,T002_caption_3,T002,caption_3,"Diseno geometrico generado con paleta azul, crema, marron, estructura vertical y repeticion visual.",0.3396110534667969,True
T002,7,T007_caption_3,T007,caption_3,"Diseno geometrico generado con paleta azul, crema, marron, estructura horizontal y repeticion visual.",0.3308424949645996,False
T002,8,T037_caption_3,T037,caption_3,"Diseno geometrico generado con paleta azul, crema, marron, estructura horizontal y repeticion visual.",0.3308424949645996,False
T002,9,T027_caption_1,T027,caption_1,"Patron textil generado con composicion central, motivos de rombos y paleta azul, crema, marron.",0.3246048390865326,False
T002,10,T017_caption_1,T017,caption_1,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta azul, crema, marron.",0.3238990604877472,False
