image_id,rank,text_id,candidate_image_id,caption_col,caption,score,is_correct
T010,1,T025_caption_1,T025,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.3135227262973785,False
T010,2,T020_caption_1,T020,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta multicolor, tierra.",0.3073100745677948,False
T010,3,T035_caption_1,T035,caption_1,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.",0.2936236262321472,False
T010,4,T005_caption_1,T005,caption_1,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.",0.2936236262321472,False
T010,5,T015_caption_1,T015,caption_1,"Patron textil generado con composicion central, motivos de rombos y paleta multicolor, tierra.",0.292924553155899,False
T010,6,T013_caption_1,T013,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.",0.2920363545417785,False
T010,7,T007_caption_1,T007,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.2882238924503326,False
T010,8,T037_caption_1,T037,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.2882238924503326,False
T010,9,T038_caption_1,T038,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.2867938876152038,False
T010,10,T008_caption_1,T008,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.2867938876152038,False
T024,1,T019_caption_1,T019,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3468204140663147,False
T024,2,T014_caption_1,T014,caption_1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3322376012802124,False
T024,3,T019_caption_3,T019,caption_3,"Diseno geometrico generado con paleta blanco, negro, gris, estructura horizontal y repeticion visual.",0.322868287563324,False
T024,4,T024_caption_1,T024,caption_1,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta blanco, negro, gris.",0.3170833885669708,True
T024,5,T029_caption_1,T029,caption_1,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta blanco, negro, gris.",0.3061326742172241,False
T024,6,T031_caption_1,T031,caption_1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.302984744310379,False
